Rang,Categorie,Organisatie,Type,Contactpersoon,Email,LinkedIn,Algoritmes,Impactvol,Hoog Risico,IAMA,Laatste Update,Outreach Score,Categorieën
1,Quick Win,Gemeente Asten,Gemeente,,gemeente@asten.nl,,13,6,5,Nee,2025-12-10,115,"Openbare orde en veiligheid, Overheidsfinanciën, Organisatie en bedrijfsvoering"
2,Quick Win,Gemeente Tilburg,Gemeente,Michaël Geerlings,privacy@tilburg.nl,https://www.linkedin.com/search/results/all/?keywords=michael%20geerlings%20tilburg,13,5,10,Nee,2025-06-26,105,"Economie, Overheidsfinanciën, Openbare orde en veiligheid, Migratie en integratie, Internationaal, Organisatie en bedrijfsvoering, Natuur en milieu, Recht, Verkeer, Sociale zekerheid"
3,Quick Win,Gemeente Beekdaelen,Gemeente,,fg@beekdaelen.nl,,8,6,5,Nee,2025-04-28,105,"Organisatie en bedrijfsvoering, Openbare orde en veiligheid"
4,Quick Win,Gemeente Arnhem,Gemeente,C.J. Eltingh,info@arnhem.nl,https://www.linkedin.com/search/results/all/?keywords=eltingh%20arnhem%20cio,15,11,10,Ja,2025-11-18,95,"Organisatie en bedrijfsvoering, Ruimte en infrastructuur, Openbare orde en veiligheid, Sociale zekerheid, Werk, Overheidsfinanciën, Economie"
5,Quick Win,Gemeente Almere,Gemeente,Marloes Smit,FG@almere.nl,https://www.linkedin.com/search/results/all/?keywords=marloes%20smit%20almere%20cio,12,5,4,Ja,2025-11-18,95,"Sociale zekerheid, Overheidsfinanciën, Organisatie en bedrijfsvoering, Openbare orde en veiligheid, Ruimte en infrastructuur, Werk, Wonen, Natuur en milieu, Zorg en gezondheid, Verkeer"
6,Quick Win,Gemeente Leiden,Gemeente,Dirkjan van Dijk,algoritmes@leidse-regio.nl,https://www.linkedin.com/search/results/all/?keywords=dirkjan%20van%20dijk%20leiden,8,5,4,Ja,2025-12-01,95,"Organisatie en bedrijfsvoering, Sociale zekerheid, Verkeer, Openbare orde en veiligheid"
7,Quick Win,Gemeente Gennep,Gemeente,,gemeente@gennep.nl,,6,4,4,Nee,2025-06-26,95,Organisatie en bedrijfsvoering
8,Quick Win,Gemeente Woensdrecht,Gemeente,,gemeente@woensdrecht.nl,,8,4,2,Nee,2025-05-15,95,"Organisatie en bedrijfsvoering, Ruimte en infrastructuur, Overheidsfinanciën, Openbare orde en veiligheid, Internationale, Sociale zekerheid"
9,Quick Win,Gemeente Doesburg,Gemeente,,info@doesburg.nl,,5,3,4,Nee,2025-06-30,95,"Organisatie en bedrijfsvoering, Overheidsfinanciën, Sociale zekerheid"
10,Quick Win,Gemeente Beuningen,Gemeente,,gemeente@beuningen.nl,,6,2,3,Nee,2025-12-19,95,Organisatie en bedrijfsvoering
1,Strategic,Stichting Inlichtingenbureau,ZBO,,info@inlichtingenbureau.nl,,21,21,8,Nee,2025-12-24,100,Sociale zekerheid
2,Strategic,Gemeente Zaanstad,Gemeente,Mr. J.M. de Vries Hoogerwerff,fg@zaanstad.nl,,6,5,1,Ja,2025-11-13,95,"Organisatie en bedrijfsvoering, Openbare orde en veiligheid, Sociale zekerheid"
3,Strategic,Gemeente Utrecht,Gemeente,Dennis Kerssens,fg@utrecht.nl,https://www.linkedin.com/search/results/all/?keywords=dennis%20kerssens%20utrecht,45,45,9,Nee,2025-10-31,90,"Organisatie en bedrijfsvoering, Sociale zekerheid, Ruimte en infrastructuur, Wonen, Onderwijs en wetenschap, Verkeer, Recht, Openbare orde en veiligheid, Zorg en gezondheid, Natuur en milieu"
4,Strategic,Dienst Toeslagen,Overig,,info@toeslagen.nl,,5,5,5,Nee,2025-06-20,90,Sociale zekerheid
5,Strategic,Gemeente Velsen,Gemeente,,info@velsen.nl,,9,6,3,Ja,2025-08-15,90,"Openbare orde en veiligheid, Internationaal, Organisatie en bedrijfsvoering, Verkeer"
6,Strategic,Omgevingsdienst Noordzeekanaalgebied,Overig,,info@odnzkg.nl,,8,7,1,Nee,2025-06-17,90,"Natuur en milieu, Ruimte en infrastructuur, Openbare orde en veiligheid, Organisatie en bedrijfsvoering"
7,Strategic,Raad voor de Kinderbescherming,ZBO,,info@rvdk.nl,,6,6,2,Ja,2025-12-03,90,Recht
8,Strategic,Gemeente Rotterdam,Gemeente,Frans Oort,privacy@rotterdam.nl,https://www.linkedin.com/search/results/all/?keywords=frans%20oort%20rotterdam%20cio,28,8,9,Ja,2025-12-15,85,"Wonen, Migratie en integratie, Openbare orde en veiligheid, Organisatie en bedrijfsvoering, Sociale zekerheid, Werk, Ruimte en infrastructuur, Economie, Natuur en milieu"
9,Strategic,Gemeente Groningen,Gemeente,Arne Bakker,opendata@groningen.nl,https://www.linkedin.com/search/results/all/?keywords=arne%20bakker%20groningen,15,6,9,Ja,2025-03-14,85,"Organisatie en bedrijfsvoering, Overheidsfinanciën, Verkeer, Sociale zekerheid, Openbare orde en veiligheid, Ruimte en infrastructuur, Natuur en milieu"
10,Strategic,Uitvoeringsinstituut Werknemersverzekeringen,Overig,,info@uwv.nl,,11,5,5,Ja,2025-12-18,80,"Sociale zekerheid, Organisatie en bedrijfsvoering, Werk"
